job_category,continent,experience_level,employment_type,company_size,work_year,salary_in_usd,salary_in_usd,salary_in_usd
,,,,,,count,mean,std
DATA_ANALYSIS,OTHER,MI,CT,M,2020,1,60000.0,
DATA_ANALYSIS,OTHER,MI,FL,S,2023,1,36000.0,
DATA_ANALYSIS,OTHER,MI,FT,L,2023,1,17000.0,
DATA_ANALYSIS,OTHER,MI,FT,M,2022,5,42909.2,23273.900902083435
DATA_ANALYSIS,OTHER,MI,FT,M,2023,8,56081.0,25373.912092090628
DATA_ANALYSIS,OTHER,MI,FT,M,2024,4,35166.25,5846.806671166748
DATA_ANALYSIS,OTHER,MI,FT,S,2020,1,20000.0,
DATA_ANALYSIS,OTHER,MI,FT,S,2022,1,20000.0,
DATA_ANALYSIS,OTHER,MI,FT,S,2023,1,179998.0,
DATA_ANALYSIS,OTHER,SE,FT,L,2023,3,51785.666666666664,31126.80453135743
DATA_ANALYSIS,OTHER,SE,FT,M,2022,1,25804.0,
DATA_ANALYSIS,OTHER,SE,FT,M,2023,6,55736.666666666664,15931.875453526076
DATA_ANALYSIS,OTHER,SE,FT,M,2024,4,48612.25,14242.16676808694
DATA_ANALYSIS,OTHER,SE,FT,S,2022,1,200000.0,
DATA_ANALYSIS,OTHER,SE,PT,L,2024,1,40000.0,
DATA_ENGINEERING,ASIA_PACIFIC,EN,FT,L,2021,3,37875.333333333336,26177.943412982873
DATA_ENGINEERING,ASIA_PACIFIC,EN,FT,L,2022,1,41809.0,
DATA_ENGINEERING,ASIA_PACIFIC,EN,FT,L,2023,1,17025.0,
DATA_ENGINEERING,ASIA_PACIFIC,EN,FT,M,2021,1,21637.0,
DATA_ENGINEERING,ASIA_PACIFIC,EN,FT,M,2023,1,18000.0,
DATA_ENGINEERING,ASIA_PACIFIC,EN,FT,S,2020,1,41689.0,
DATA_ENGINEERING,ASIA_PACIFIC,MI,FT,L,2021,3,62318.333333333336,35117.33367346293
DATA_ENGINEERING,ASIA_PACIFIC,MI,FT,L,2022,1,35610.0,
DATA_ENGINEERING,ASIA_PACIFIC,MI,FT,L,2023,1,74883.0,
DATA_ENGINEERING,ASIA_PACIFIC,MI,FT,L,2024,1,27611.0,
